Treatment Title,Treatment Details,Treatment Stage,Treatment Type,Risk Category,Risk Location,Element Type,Risk Factor,Construction Scope,Associated Activity
Provide a 180 degree hook or impaling cap on the end of all wall reinforcing bars.,,"Site work, Temp Works, Change control",Control by subsequent design ,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
x,,0,0,Physical-Size,High Level-Between Joist,Column,Physical-Size,Site investigation and remediation,"Preliminary investigation, tests & protypes"
x,,0,0,Physical-Connection,High Level-Near Edge,External Wall,Physical-Connection,Surrounding environment ,Material sourcing
x,,0,0,Physical-Weight,High Level-Near Opening,Internal Wall,Physical-Weight,Site clearance and demolition,Component manufacture
x,,0,0,Physical-Length,High Level-Near Opening - Shaft,Slab,Physical-Length,Access (onto and within site),"Storage, transport, logistics"
x,,0,0,Physical-Opening,High Level-Near Opening - Stairwell,Stair,Physical-Opening,Site Layout,Install construction
x,,0,0,Physical-Fragile,High Level-Scaffolds,Ramp,Physical-Fragile,General excavation,Commission; site tests
x,,0,0,Physical-Collapse,Site logistics-Traffic route,Flat roof,Physical-Collapse,Deep basements and shafts,Use
x,,0,0,Physical-Spacing,Site logistics-Crane area,Pitched roof,Physical-Spacing,Trenches for foundations and services,Operation
x,,0,0,Physical-Edge,Site logistics-Pump area,Lift,Physical-Edge,Retaining walls,Maintenance
x,,0,0,Material-Asbestos,Site logistics-Confined area,Isolated foundation,Material-Asbestos,Ground stabilisation,High impact events
x,,0,0,Material-Lead,Site logistics-Exposed area,Raft foundation,Material-Lead,Pilling,Modification
x,,0,0,Material-Dust,Site logistics-Excavation area,Wall foundation,Material-Dust,Under pinning,Aging
x,,0,0,Material-Strength,0,Frame/beam,Material-Strength,General concrete,Life extension
x,,0,0,Task-Excavation,0,Cladding,Task-Excavation,In situ concrete,"Demolition, removal"
x,,0,0,Task-Manual Handling,0,Ceiling,Task-Manual Handling,Precast concrete,Post processing
x,,0,0,Task-Welding,0,Mechanical equipment,Task-Welding,"Prestressed, post tensioned concrete",Material disposal or re-use
x,,0,0,Task-Lifting,0,Window,Task-Lifting,General steelwork,Not Applicable
x,,0,0,Task-Cleaning machinery,0,Temporary structure,Task-Cleaning machinery,Stability and erection of structural steelwork,0
x,,0,0,Task-Temporary structure,0,Not Applicable,Task-Temporary structure,Masonry,0
x,,0,0,Task-Site Management,0,0,Task-Site Management,Timber,0
x,,0,0,Task-Change Design,0,0,Task-Change Design,Refurbishment of existing buildings,0
x,,0,0,0,0,0,0,External Cladding,0
x,,0,0,0,0,0,0,Roof coverings and finishes,0
x,,0,0,0,0,0,0,Atria,0
x,,0,0,0,0,0,0,Windows/glazing including windows cleaning,0
x,,0,0,0,0,0,0,Surface coating and finishes,0
x,,0,0,0,0,0,0,Cleaning of buildings,0
x,,0,0,0,0,0,0,Mechanical services,0
x,,0,0,0,0,0,0,Electrical services,0
x,,0,0,0,0,0,0,Public health services,0
x,,0,0,0,0,0,0,"Lifts, escalators and auto walks",0
x,,0,0,0,0,0,0,"General civil engineering, including small works",0
x,,0,0,0,0,0,0,"Roads, working adjacent to, maintenance of",0
x,,0,0,0,0,0,0,"Railways, working adjacent to, maintenance of",0
x,,0,0,0,0,0,0,Bridge construction,0
x,,0,0,0,0,0,0,Bridge maintenance,0
x,,0,0,0,0,0,0,Working over/near water,0
x,,0,0,0,0,0,0,Pipes and cables,0
x,,0,0,0,0,0,0,Work in coastal and maritime waters,0
